state,district,category,type,date,crimes,sex,age,ethnicity,population
Malaysia,All,property,break_in,2016,18760,,,,
Malaysia,All,property,break_in,2017,16201,,,,
Malaysia,All,property,break_in,2018,15742,,,,
Malaysia,All,property,break_in,2019,16497,,,,
Malaysia,All,property,break_in,2020,14040,,,,
Malaysia,All,property,break_in,2021,11352,,,,
Malaysia,All,property,break_in,2022,10585,,,,
Malaysia,All,property,theft_other,2016,22857,,,,
Malaysia,All,property,theft_other,2017,19444,,,,
Malaysia,All,property,theft_other,2018,20065,,,,
Malaysia,All,property,theft_other,2019,19603,,,,
Malaysia,All,property,theft_other,2020,16725,,,,
Malaysia,All,property,theft_other,2021,16695,,,,
Malaysia,All,property,theft_other,2022,15434,,,,
Malaysia,All,property,theft_vehicle_lorry,2016,3050,,,,
Malaysia,All,property,theft_vehicle_lorry,2017,2102,,,,
Malaysia,All,property,theft_vehicle_lorry,2018,1761,,,,
Malaysia,All,property,theft_vehicle_lorry,2019,1549,,,,
Malaysia,All,property,theft_vehicle_lorry,2020,921,,,,
Malaysia,All,property,theft_vehicle_lorry,2021,639,,,,
Malaysia,All,property,theft_vehicle_lorry,2022,718,,,,
Malaysia,All,property,theft_vehicle_motorcar,2016,10607,,,,
Malaysia,All,property,theft_vehicle_motorcar,2017,8480,,,,
Malaysia,All,property,theft_vehicle_motorcar,2018,7413,,,,
Malaysia,All,property,theft_vehicle_motorcar,2019,6817,,,,
Malaysia,All,property,theft_vehicle_motorcar,2020,4599,,,,
Malaysia,All,property,theft_vehicle_motorcar,2021,2849,,,,
Malaysia,All,property,theft_vehicle_motorcar,2022,3271,,,,
Malaysia,All,property,theft_vehicle_motorcycle,2016,34754,,,,
Malaysia,All,property,theft_vehicle_motorcycle,2017,31577,,,,
Malaysia,All,property,theft_vehicle_motorcycle,2018,26779,,,,
Malaysia,All,property,theft_vehicle_motorcycle,2019,22501,,,,
Malaysia,All,property,theft_vehicle_motorcycle,2020,16059,,,,
Malaysia,All,property,theft_vehicle_motorcycle,2021,9944,,,,
Malaysia,All,property,theft_vehicle_motorcycle,2022,10457,,,,
Johor,All,assault,all,2016,2820,both,overall,overall,3651.8
Johor,All,assault,all,2017,2578,both,overall,overall,3697.0
Johor,All,assault,all,2018,1880,both,overall,overall,3749.4
Johor,All,assault,all,2019,1923,both,overall,overall,3761.2
Johor,All,assault,all,2020,1384,both,overall,overall,4009.7
Johor,All,assault,all,2021,925,both,overall,overall,4020.0
Johor,All,assault,all,2022,973,both,overall,overall,4028.3
Johor,All,assault,causing_injury,2016,708,both,overall,overall,3651.8
Johor,All,assault,causing_injury,2017,614,both,overall,overall,3697.0
Johor,All,assault,causing_injury,2018,578,both,overall,overall,3749.4
Johor,All,assault,causing_injury,2019,599,both,overall,overall,3761.2
Johor,All,assault,causing_injury,2020,447,both,overall,overall,4009.7
Johor,All,assault,causing_injury,2021,365,both,overall,overall,4020.0
Johor,All,assault,causing_injury,2022,333,both,overall,overall,4028.3
Johor,All,assault,murder,2016,70,both,overall,overall,3651.8
Johor,All,assault,murder,2017,66,both,overall,overall,3697.0
Johor,All,assault,murder,2018,43,both,overall,overall,3749.4
Johor,All,assault,murder,2019,35,both,overall,overall,3761.2
Johor,All,assault,murder,2020,36,both,overall,overall,4009.7
Johor,All,assault,murder,2021,21,both,overall,overall,4020.0
Johor,All,assault,murder,2022,30,both,overall,overall,4028.3
Johor,All,assault,rape,2016,274,both,overall,overall,3651.8
Johor,All,assault,rape,2017,196,both,overall,overall,3697.0
Johor,All,assault,rape,2018,187,both,overall,overall,3749.4
Johor,All,assault,rape,2019,206,both,overall,overall,3761.2
Johor,All,assault,rape,2020,164,both,overall,overall,4009.7
Johor,All,assault,rape,2021,144,both,overall,overall,4020.0
Johor,All,assault,rape,2022,147,both,overall,overall,4028.3
Johor,All,assault,robbery_gang_armed,2016,10,both,overall,overall,3651.8
Johor,All,assault,robbery_gang_armed,2017,1,both,overall,overall,3697.0
Johor,All,assault,robbery_gang_armed,2018,2,both,overall,overall,3749.4
Johor,All,assault,robbery_gang_armed,2019,1,both,overall,overall,3761.2
Johor,All,assault,robbery_gang_armed,2020,1,both,overall,overall,4009.7
Johor,All,assault,robbery_gang_armed,2021,1,both,overall,overall,4020.0
Johor,All,assault,robbery_gang_armed,2022,0,both,overall,overall,4028.3
Johor,All,assault,robbery_gang_unarmed,2016,1308,both,overall,overall,3651.8
Johor,All,assault,robbery_gang_unarmed,2017,1220,both,overall,overall,3697.0
Johor,All,assault,robbery_gang_unarmed,2018,740,both,overall,overall,3749.4
Johor,All,assault,robbery_gang_unarmed,2019,753,both,overall,overall,3761.2
Johor,All,assault,robbery_gang_unarmed,2020,257,both,overall,overall,4009.7
Johor,All,assault,robbery_gang_unarmed,2021,256,both,overall,overall,4020.0
Johor,All,assault,robbery_gang_unarmed,2022,270,both,overall,overall,4028.3
Johor,All,assault,robbery_solo_armed,2016,3,both,overall,overall,3651.8
Johor,All,assault,robbery_solo_armed,2017,0,both,overall,overall,3697.0
Johor,All,assault,robbery_solo_armed,2018,0,both,overall,overall,3749.4
Johor,All,assault,robbery_solo_armed,2019,1,both,overall,overall,3761.2
Johor,All,assault,robbery_solo_armed,2020,0,both,overall,overall,4009.7
Johor,All,assault,robbery_solo_armed,2021,0,both,overall,overall,4020.0
Johor,All,assault,robbery_solo_armed,2022,0,both,overall,overall,4028.3
Johor,All,assault,robbery_solo_unarmed,2016,447,both,overall,overall,3651.8
Johor,All,assault,robbery_solo_unarmed,2017,481,both,overall,overall,3697.0
Johor,All,assault,robbery_solo_unarmed,2018,330,both,overall,overall,3749.4
Johor,All,assault,robbery_solo_unarmed,2019,328,both,overall,overall,3761.2
Johor,All,assault,robbery_solo_unarmed,2020,479,both,overall,overall,4009.7
Johor,All,assault,robbery_solo_unarmed,2021,138,both,overall,overall,4020.0
Johor,All,assault,robbery_solo_unarmed,2022,193,both,overall,overall,4028.3
Johor,All,property,all,2016,10121,both,overall,overall,3651.8
Johor,All,property,all,2017,8729,both,overall,overall,3697.0
Johor,All,property,all,2018,8458,both,overall,overall,3749.4
Johor,All,property,all,2019,7947,both,overall,overall,3761.2
Johor,All,property,all,2020,5966,both,overall,overall,4009.7
Johor,All,property,all,2021,3440,both,overall,overall,4020.0
Johor,All,property,all,2022,3489,both,overall,overall,4028.3
Johor,All,property,break_in,2016,1475,both,overall,overall,3651.8
Johor,All,property,break_in,2017,1211,both,overall,overall,3697.0
Johor,All,property,break_in,2018,1239,both,overall,overall,3749.4
Johor,All,property,break_in,2019,1364,both,overall,overall,3761.2
Johor,All,property,break_in,2020,1273,both,overall,overall,4009.7
Johor,All,property,break_in,2021,883,both,overall,overall,4020.0
Johor,All,property,break_in,2022,767,both,overall,overall,4028.3
Johor,All,property,theft_other,2016,2117,both,overall,overall,3651.8
Johor,All,property,theft_other,2017,2043,both,overall,overall,3697.0
Johor,All,property,theft_other,2018,2025,both,overall,overall,3749.4
Johor,All,property,theft_other,2019,1912,both,overall,overall,3761.2
Johor,All,property,theft_other,2020,1403,both,overall,overall,4009.7
Johor,All,property,theft_other,2021,942,both,overall,overall,4020.0
Johor,All,property,theft_other,2022,1041,both,overall,overall,4028.3
Johor,All,property,theft_vehicle_lorry,2016,400,both,overall,overall,3651.8
Johor,All,property,theft_vehicle_lorry,2017,274,both,overall,overall,3697.0
Johor,All,property,theft_vehicle_lorry,2018,278,both,overall,overall,3749.4
Johor,All,property,theft_vehicle_lorry,2019,219,both,overall,overall,3761.2
Johor,All,property,theft_vehicle_lorry,2020,141,both,overall,overall,4009.7
Johor,All,property,theft_vehicle_lorry,2021,71,both,overall,overall,4020.0
Johor,All,property,theft_vehicle_lorry,2022,73,both,overall,overall,4028.3
Johor,All,property,theft_vehicle_motorcar,2016,1443,both,overall,overall,3651.8
Johor,All,property,theft_vehicle_motorcar,2017,1097,both,overall,overall,3697.0
Johor,All,property,theft_vehicle_motorcar,2018,1035,both,overall,overall,3749.4
Johor,All,property,theft_vehicle_motorcar,2019,981,both,overall,overall,3761.2
Johor,All,property,theft_vehicle_motorcar,2020,802,both,overall,overall,4009.7
Johor,All,property,theft_vehicle_motorcar,2021,400,both,overall,overall,4020.0
Johor,All,property,theft_vehicle_motorcar,2022,429,both,overall,overall,4028.3
Johor,All,property,theft_vehicle_motorcycle,2016,4686,both,overall,overall,3651.8
Johor,All,property,theft_vehicle_motorcycle,2017,4104,both,overall,overall,3697.0
Johor,All,property,theft_vehicle_motorcycle,2018,3881,both,overall,overall,3749.4
Johor,All,property,theft_vehicle_motorcycle,2019,3471,both,overall,overall,3761.2
Johor,All,property,theft_vehicle_motorcycle,2020,2347,both,overall,overall,4009.7
Johor,All,property,theft_vehicle_motorcycle,2021,1144,both,overall,overall,4020.0
Johor,All,property,theft_vehicle_motorcycle,2022,1179,both,overall,overall,4028.3
Johor,Batu Pahat,assault,all,2016,160,both,overall,overall,3651.8
Johor,Batu Pahat,assault,all,2017,123,both,overall,overall,3697.0
Johor,Batu Pahat,assault,all,2018,104,both,overall,overall,3749.4
Johor,Batu Pahat,assault,all,2019,139,both,overall,overall,3761.2
Johor,Batu Pahat,assault,all,2020,127,both,overall,overall,4009.7
Johor,Batu Pahat,assault,all,2021,60,both,overall,overall,4020.0
Johor,Batu Pahat,assault,all,2022,52,both,overall,overall,4028.3
Johor,Batu Pahat,assault,causing_injury,2016,39,both,overall,overall,3651.8
Johor,Batu Pahat,assault,causing_injury,2017,41,both,overall,overall,3697.0
Johor,Batu Pahat,assault,causing_injury,2018,28,both,overall,overall,3749.4
Johor,Batu Pahat,assault,causing_injury,2019,41,both,overall,overall,3761.2
Johor,Batu Pahat,assault,causing_injury,2020,43,both,overall,overall,4009.7
Johor,Batu Pahat,assault,causing_injury,2021,22,both,overall,overall,4020.0
Johor,Batu Pahat,assault,causing_injury,2022,19,both,overall,overall,4028.3
Johor,Batu Pahat,assault,murder,2016,6,both,overall,overall,3651.8
Johor,Batu Pahat,assault,murder,2017,0,both,overall,overall,3697.0
Johor,Batu Pahat,assault,murder,2018,3,both,overall,overall,3749.4
Johor,Batu Pahat,assault,murder,2019,3,both,overall,overall,3761.2
Johor,Batu Pahat,assault,murder,2020,3,both,overall,overall,4009.7
Johor,Batu Pahat,assault,murder,2021,0,both,overall,overall,4020.0
Johor,Batu Pahat,assault,murder,2022,3,both,overall,overall,4028.3
Johor,Batu Pahat,assault,rape,2016,29,both,overall,overall,3651.8
Johor,Batu Pahat,assault,rape,2017,23,both,overall,overall,3697.0
Johor,Batu Pahat,assault,rape,2018,13,both,overall,overall,3749.4
Johor,Batu Pahat,assault,rape,2019,29,both,overall,overall,3761.2
Johor,Batu Pahat,assault,rape,2020,16,both,overall,overall,4009.7
Johor,Batu Pahat,assault,rape,2021,18,both,overall,overall,4020.0
Johor,Batu Pahat,assault,rape,2022,13,both,overall,overall,4028.3
Johor,Batu Pahat,assault,robbery_gang_armed,2016,1,both,overall,overall,3651.8
Johor,Batu Pahat,assault,robbery_gang_armed,2017,0,both,overall,overall,3697.0
Johor,Batu Pahat,assault,robbery_gang_armed,2018,0,both,overall,overall,3749.4
Johor,Batu Pahat,assault,robbery_gang_armed,2019,0,both,overall,overall,3761.2
Johor,Batu Pahat,assault,robbery_gang_armed,2020,0,both,overall,overall,4009.7
Johor,Batu Pahat,assault,robbery_gang_armed,2021,0,both,overall,overall,4020.0
Johor,Batu Pahat,assault,robbery_gang_armed,2022,0,both,overall,overall,4028.3
Johor,Batu Pahat,assault,robbery_gang_unarmed,2016,56,both,overall,overall,3651.8
Johor,Batu Pahat,assault,robbery_gang_unarmed,2017,47,both,overall,overall,3697.0
Johor,Batu Pahat,assault,robbery_gang_unarmed,2018,33,both,overall,overall,3749.4
Johor,Batu Pahat,assault,robbery_gang_unarmed,2019,37,both,overall,overall,3761.2
Johor,Batu Pahat,assault,robbery_gang_unarmed,2020,32,both,overall,overall,4009.7
Johor,Batu Pahat,assault,robbery_gang_unarmed,2021,9,both,overall,overall,4020.0
Johor,Batu Pahat,assault,robbery_gang_unarmed,2022,5,both,overall,overall,4028.3
Johor,Batu Pahat,assault,robbery_solo_armed,2016,1,both,overall,overall,3651.8
Johor,Batu Pahat,assault,robbery_solo_armed,2017,0,both,overall,overall,3697.0
Johor,Batu Pahat,assault,robbery_solo_armed,2018,0,both,overall,overall,3749.4
Johor,Batu Pahat,assault,robbery_solo_armed,2019,0,both,overall,overall,3761.2
Johor,Batu Pahat,assault,robbery_solo_armed,2020,0,both,overall,overall,4009.7
Johor,Batu Pahat,assault,robbery_solo_armed,2021,0,both,overall,overall,4020.0
Johor,Batu Pahat,assault,robbery_solo_armed,2022,0,both,overall,overall,4028.3
Johor,Batu Pahat,assault,robbery_solo_unarmed,2016,28,both,overall,overall,3651.8
Johor,Batu Pahat,assault,robbery_solo_unarmed,2017,12,both,overall,overall,3697.0
Johor,Batu Pahat,assault,robbery_solo_unarmed,2018,27,both,overall,overall,3749.4
Johor,Batu Pahat,assault,robbery_solo_unarmed,2019,29,both,overall,overall,3761.2
Johor,Batu Pahat,assault,robbery_solo_unarmed,2020,33,both,overall,overall,4009.7
Johor,Batu Pahat,assault,robbery_solo_unarmed,2021,11,both,overall,overall,4020.0
Johor,Batu Pahat,assault,robbery_solo_unarmed,2022,12,both,overall,overall,4028.3
Johor,Batu Pahat,property,all,2016,621,both,overall,overall,3651.8
Johor,Batu Pahat,property,all,2017,558,both,overall,overall,3697.0
Johor,Batu Pahat,property,all,2018,584,both,overall,overall,3749.4
Johor,Batu Pahat,property,all,2019,524,both,overall,overall,3761.2
Johor,Batu Pahat,property,all,2020,415,both,overall,overall,4009.7
Johor,Batu Pahat,property,all,2021,200,both,overall,overall,4020.0
Johor,Batu Pahat,property,all,2022,262,both,overall,overall,4028.3
Johor,Batu Pahat,property,break_in,2016,115,both,overall,overall,3651.8
Johor,Batu Pahat,property,break_in,2017,90,both,overall,overall,3697.0
Johor,Batu Pahat,property,break_in,2018,158,both,overall,overall,3749.4
Johor,Batu Pahat,property,break_in,2019,157,both,overall,overall,3761.2
Johor,Batu Pahat,property,break_in,2020,122,both,overall,overall,4009.7
Johor,Batu Pahat,property,break_in,2021,55,both,overall,overall,4020.0
Johor,Batu Pahat,property,break_in,2022,80,both,overall,overall,4028.3
Johor,Batu Pahat,property,theft_other,2016,192,both,overall,overall,3651.8
Johor,Batu Pahat,property,theft_other,2017,119,both,overall,overall,3697.0
Johor,Batu Pahat,property,theft_other,2018,140,both,overall,overall,3749.4
Johor,Batu Pahat,property,theft_other,2019,127,both,overall,overall,3761.2
Johor,Batu Pahat,property,theft_other,2020,122,both,overall,overall,4009.7
Johor,Batu Pahat,property,theft_other,2021,72,both,overall,overall,4020.0
Johor,Batu Pahat,property,theft_other,2022,83,both,overall,overall,4028.3
Johor,Batu Pahat,property,theft_vehicle_lorry,2016,16,both,overall,overall,3651.8
Johor,Batu Pahat,property,theft_vehicle_lorry,2017,10,both,overall,overall,3697.0
Johor,Batu Pahat,property,theft_vehicle_lorry,2018,15,both,overall,overall,3749.4
Johor,Batu Pahat,property,theft_vehicle_lorry,2019,4,both,overall,overall,3761.2
Johor,Batu Pahat,property,theft_vehicle_lorry,2020,12,both,overall,overall,4009.7
Johor,Batu Pahat,property,theft_vehicle_lorry,2021,2,both,overall,overall,4020.0
Johor,Batu Pahat,property,theft_vehicle_lorry,2022,7,both,overall,overall,4028.3
Johor,Batu Pahat,property,theft_vehicle_motorcar,2016,41,both,overall,overall,3651.8
Johor,Batu Pahat,property,theft_vehicle_motorcar,2017,52,both,overall,overall,3697.0
Johor,Batu Pahat,property,theft_vehicle_motorcar,2018,46,both,overall,overall,3749.4
Johor,Batu Pahat,property,theft_vehicle_motorcar,2019,28,both,overall,overall,3761.2
Johor,Batu Pahat,property,theft_vehicle_motorcar,2020,38,both,overall,overall,4009.7
Johor,Batu Pahat,property,theft_vehicle_motorcar,2021,12,both,overall,overall,4020.0
Johor,Batu Pahat,property,theft_vehicle_motorcar,2022,16,both,overall,overall,4028.3
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2016,257,both,overall,overall,3651.8
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2017,287,both,overall,overall,3697.0
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2018,225,both,overall,overall,3749.4
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2019,208,both,overall,overall,3761.2
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2020,121,both,overall,overall,4009.7
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2021,59,both,overall,overall,4020.0
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2022,76,both,overall,overall,4028.3
Johor,Iskandar Puteri,assault,all,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,assault,all,2017,195,both,overall,overall,3697.0
Johor,Iskandar Puteri,assault,all,2018,149,both,overall,overall,3749.4
Johor,Iskandar Puteri,assault,all,2019,170,both,overall,overall,3761.2
Johor,Iskandar Puteri,assault,all,2020,96,both,overall,overall,4009.7
Johor,Iskandar Puteri,assault,all,2021,68,both,overall,overall,4020.0
Johor,Iskandar Puteri,assault,all,2022,80,both,overall,overall,4028.3
Johor,Iskandar Puteri,assault,causing_injury,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,assault,causing_injury,2017,54,both,overall,overall,3697.0
Johor,Iskandar Puteri,assault,causing_injury,2018,61,both,overall,overall,3749.4
Johor,Iskandar Puteri,assault,causing_injury,2019,46,both,overall,overall,3761.2
Johor,Iskandar Puteri,assault,causing_injury,2020,23,both,overall,overall,4009.7
Johor,Iskandar Puteri,assault,causing_injury,2021,20,both,overall,overall,4020.0
Johor,Iskandar Puteri,assault,causing_injury,2022,30,both,overall,overall,4028.3
Johor,Iskandar Puteri,assault,murder,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,assault,murder,2017,4,both,overall,overall,3697.0
Johor,Iskandar Puteri,assault,murder,2018,4,both,overall,overall,3749.4
Johor,Iskandar Puteri,assault,murder,2019,4,both,overall,overall,3761.2
Johor,Iskandar Puteri,assault,murder,2020,3,both,overall,overall,4009.7
Johor,Iskandar Puteri,assault,murder,2021,2,both,overall,overall,4020.0
Johor,Iskandar Puteri,assault,murder,2022,3,both,overall,overall,4028.3
Johor,Iskandar Puteri,assault,rape,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,assault,rape,2017,9,both,overall,overall,3697.0
Johor,Iskandar Puteri,assault,rape,2018,13,both,overall,overall,3749.4
Johor,Iskandar Puteri,assault,rape,2019,16,both,overall,overall,3761.2
Johor,Iskandar Puteri,assault,rape,2020,9,both,overall,overall,4009.7
Johor,Iskandar Puteri,assault,rape,2021,4,both,overall,overall,4020.0
Johor,Iskandar Puteri,assault,rape,2022,9,both,overall,overall,4028.3
Johor,Iskandar Puteri,assault,robbery_gang_armed,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,assault,robbery_gang_armed,2017,0,both,overall,overall,3697.0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2018,0,both,overall,overall,3749.4
Johor,Iskandar Puteri,assault,robbery_gang_armed,2019,0,both,overall,overall,3761.2
Johor,Iskandar Puteri,assault,robbery_gang_armed,2020,0,both,overall,overall,4009.7
Johor,Iskandar Puteri,assault,robbery_gang_armed,2021,1,both,overall,overall,4020.0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2022,0,both,overall,overall,4028.3
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2017,102,both,overall,overall,3697.0
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2018,53,both,overall,overall,3749.4
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2019,74,both,overall,overall,3761.2
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2020,17,both,overall,overall,4009.7
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2021,31,both,overall,overall,4020.0
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2022,21,both,overall,overall,4028.3
Johor,Iskandar Puteri,assault,robbery_solo_armed,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,assault,robbery_solo_armed,2017,0,both,overall,overall,3697.0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2018,0,both,overall,overall,3749.4
Johor,Iskandar Puteri,assault,robbery_solo_armed,2019,0,both,overall,overall,3761.2
Johor,Iskandar Puteri,assault,robbery_solo_armed,2020,0,both,overall,overall,4009.7
Johor,Iskandar Puteri,assault,robbery_solo_armed,2021,0,both,overall,overall,4020.0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2022,0,both,overall,overall,4028.3
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2017,26,both,overall,overall,3697.0
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2018,18,both,overall,overall,3749.4
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2019,30,both,overall,overall,3761.2
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2020,44,both,overall,overall,4009.7
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2021,10,both,overall,overall,4020.0
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2022,17,both,overall,overall,4028.3
Johor,Iskandar Puteri,property,all,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,property,all,2017,727,both,overall,overall,3697.0
Johor,Iskandar Puteri,property,all,2018,784,both,overall,overall,3749.4
Johor,Iskandar Puteri,property,all,2019,784,both,overall,overall,3761.2
Johor,Iskandar Puteri,property,all,2020,538,both,overall,overall,4009.7
Johor,Iskandar Puteri,property,all,2021,332,both,overall,overall,4020.0
Johor,Iskandar Puteri,property,all,2022,356,both,overall,overall,4028.3
Johor,Iskandar Puteri,property,break_in,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,property,break_in,2017,92,both,overall,overall,3697.0
Johor,Iskandar Puteri,property,break_in,2018,47,both,overall,overall,3749.4
Johor,Iskandar Puteri,property,break_in,2019,76,both,overall,overall,3761.2
Johor,Iskandar Puteri,property,break_in,2020,77,both,overall,overall,4009.7
Johor,Iskandar Puteri,property,break_in,2021,68,both,overall,overall,4020.0
Johor,Iskandar Puteri,property,break_in,2022,77,both,overall,overall,4028.3
Johor,Iskandar Puteri,property,theft_other,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,property,theft_other,2017,151,both,overall,overall,3697.0
Johor,Iskandar Puteri,property,theft_other,2018,176,both,overall,overall,3749.4
Johor,Iskandar Puteri,property,theft_other,2019,228,both,overall,overall,3761.2
Johor,Iskandar Puteri,property,theft_other,2020,156,both,overall,overall,4009.7
Johor,Iskandar Puteri,property,theft_other,2021,114,both,overall,overall,4020.0
Johor,Iskandar Puteri,property,theft_other,2022,125,both,overall,overall,4028.3
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2017,17,both,overall,overall,3697.0
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2018,20,both,overall,overall,3749.4
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2019,36,both,overall,overall,3761.2
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2020,11,both,overall,overall,4009.7
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2021,6,both,overall,overall,4020.0
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2022,5,both,overall,overall,4028.3
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2016,0,both,overall,overall,3651.8
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2017,130,both,overall,overall,3697.0
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2018,138,both,overall,overall,3749.4
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2019,131,both,overall,overall,3761.2
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2020,122,both,overall,overall,4009.7
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2021,56,both,overall,overall,4020.0
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2022,54,both,overall,overall,4028.3
